Views,Watch time (hours),Average view duration (Seconds),Average percentage viewed (%),Likes,Dislikes,Likes (vs. dislikes) (%),Comments added,Shares,Subscribers,Subscribers gained,Subscribers lost,Videos published,Estimated revenue (USD)
5422,210.9085,140,27.5,51,2,96.23,3,2,7,11,4,0,2.689
5422,143.88,95,45.37,120,4,96.77,6,35,12,15,3,0,0
5419,136.3196,90,44.28,108,5,95.58,7,29,8,10,2,0,0
5417,116.5074,77,51.2,33,1,97.06,0,13,4,6,2,0,0
5411,138.1646,91,43.84,98,4,96.08,4,48,5,10,5,0,0
5402,135.8286,90,43.85,94,3,96.91,3,42,3,6,3,0,0
5394,137.0631,91,42.99,45,7,86.54,1,18,8,8,0,0,0
5388,132.8103,88,29.33,45,8,84.91,10,1,1,9,8,0,1.857
5379,116.5449,78,43.89,49,6,89.09,4,1,-2,5,7,0,0.507
5379,137.49,92,37.55,66,3,95.65,1,18,4,6,2,0,0
5378,137.8347,92,44.32,104,10,91.23,3,42,15,20,5,0,0
5371,140.2296,93,43.51,71,8,89.87,7,40,3,9,6,0,0
5364,137.8644,92,38.82,80,2,97.56,5,21,2,4,2,0,0
5360,140.2112,94,46.18,98,6,94.23,7,32,8,13,5,0,0
5359,143.6624,96,39.2,60,2,96.77,1,7,5,6,1,0,0
5357,113.7057,76,62.18,214,4,98.17,15,151,16,18,2,0,0.003
5354,106.4125,71,59.15,200,8,96.15,8,113,13,19,6,0,0.003
5350,118.0331,79,63.68,238,10,95.97,19,185,18,23,5,0,0.005
5348,139.5107,93,37.08,66,1,98.51,3,7,-1,2,3,0,0
5331,138.4586,93,42.91,62,1,98.41,2,25,4,14,10,0,0
5328,132.3832,89,42.88,102,2,98.08,6,37,9,12,3,0,0
5310,132.7991,90,42.05,40,2,95.24,4,17,-2,1,3,0,0
5310,129.9613,88,37.63,50,4,92.59,4,18,4,6,2,0,0
5308,121.1727,82,43.46,57,3,95,5,0,1,7,6,0,0.321
5298,305.9092,207,30.19,86,18,82.69,14,17,21,25,4,1,2.88
5287,140.417,95,40.85,22,4,84.62,2,13,2,4,2,0,0
5280,141.4858,96,39.75,37,4,90.24,1,13,-2,3,5,0,0
5255,90.0808,61,50.53,46,6,88.46,4,0,-1,3,4,0,0.116
5253,138.8281,95,40.26,14,3,82.35,1,12,-1,3,4,0,0
5237,127.0395,87,37.93,43,5,89.58,1,17,1,3,2,0,0
5232,130.3095,89,39.3,48,2,96,1,14,1,4,3,0,0
5225,114.9837,79,44.66,38,5,88.37,2,0,1,6,5,0,0.221
5208,134.3063,92,43.56,82,2,97.62,2,44,5,5,0,0,0
5198,126.5168,87,37.36,46,4,92,1,14,1,2,1,0,0
5190,138.2778,95,39.43,40,1,97.56,4,8,0,2,2,0,0
5189,133.1875,92,38.18,73,1,98.65,1,15,1,2,1,0,0
5182,134.2477,93,44.37,72,3,96,6,32,7,11,4,0,0
5178,133.7894,93,37.04,43,2,95.56,1,12,0,2,2,0,0
